record_id,city,country,continent,population,dev_status,grid_type,year,transport_mode,modal_share_pct,avg_trip_km,daily_trips_per_person,emission_factor_co2_kg_per_pkm,emission_factor_nox_kg_per_pkm,emission_factor_pm10_kg_per_pkm,energy_intensity_MJ_per_pkm,co2_emissions_tonnes,nox_emissions_tonnes,pm10_emissions_tonnes,energy_consumption_TJ
1,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2015,Car,17.684,13.05,4,0.197746,0.00046124,6.5474e-05,2.34929,13791483.65,32168.4581,4566.38112,163.8475
2,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2015,Motorcycle,12.352,8.14,4,0.115003,0.00072779,9.2407e-05,1.56617,3494667.35,22115.8053,2808.02871,47.5922
3,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2015,ElectricCar,3.08,13.13,4,0.037323,1.373e-05,3.464e-06,0.38019,456183.83,167.8162,42.33906,4.6469
4,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2015,ElectricBike,2.089,7.02,4,0.005766,2.15e-06,6.01e-07,0.05676,25558.02,9.53,2.66396,0.2516
5,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2015,Bus,28.353,10.11,4,0.09053,0.00122249,0.000118794,1.07096,7842606.56,105904.2096,10291.11459,92.7772
6,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2015,Rail,27.212,14.42,4,0.028338,1.054e-05,2.314e-06,0.22504,3360654.22,1249.9575,274.42141,26.6879
7,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2015,Bicycle,2.86,5.38,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2015,Walk,6.37,2.58,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2016,Car,15.951,12.92,3,0.193399,0.00045821,6.0363e-05,2.5635,9034026.05,21403.8391,2819.6677,119.7458
10,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2016,Motorcycle,12.382,8.47,3,0.108576,0.00078175,8.8614e-05,1.56319,2581060.84,18583.7046,2106.52561,37.16
11,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2016,ElectricCar,3.418,13.56,3,0.037715,1.279e-05,3.628e-06,0.36689,396195.97,134.3589,38.11213,3.8542
12,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2016,ElectricBike,2.402,7.83,3,0.005631,2.04e-06,5.78e-07,0.05318,24000.33,8.6948,2.46354,0.2267
13,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2016,Bus,28.061,10.45,3,0.083035,0.00115614,0.000119332,1.10569,5519047.04,76844.5961,7931.58211,73.4914
14,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2016,Rail,28.359,14.74,3,0.028606,1.057e-05,2.1e-06,0.21819,2710404.71,1001.5024,198.97399,20.6734
15,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2016,Bicycle,3.082,5.51,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2016,Walk,6.346,2.56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2017,Car,17.765,12.14,2,0.191741,0.00044198,5.4446e-05,2.4972,6248681.67,14403.7651,1774.35041,81.3817
18,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2017,Motorcycle,11.438,8.07,2,0.110572,0.00078089,7.926e-05,1.65659,1542231.83,10891.6671,1105.49954,23.1057
19,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2017,ElectricCar,3.671,13.51,2,0.035099,1.379e-05,3.245e-06,0.37596,263047.34,103.3483,24.31946,2.8176
20,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2017,ElectricBike,2.457,7.32,2,0.005382,1.94e-06,5.42e-07,0.05143,14628.41,5.273,1.47317,0.1398
21,Mumbai,India,Asia,20700000,Developing,Coal-heavy,2017,Bus,28.256,10.36,2,0.083374,0.00102147,0.000121824,1.11135,3688031.06,45184.507,5388.85859,49.1603
